,description,label_model
41,"Karyawan SPBU WAS-WAS @ganjarpranowo Sidak langsung kenaikan BBM 

#ganjaranapps #ganjaranapp #bbm #ganjarpranowo https://t.co/yEuQsaAN2e",netral
42,Aliansi Mahasiswa NTB melakukan Aksi menolak kenaikan harga BBM di depan kantor DPRD NTB. (Senin 5 September 2022). https://t.co/awZlTVskzP,negatif
43,Kaum Monas kok tinggal segelintir gitu ya ? Apa kenaikan BBM berpengaruh pada persediaan nasbung ? https://t.co/5yujmYJWmK,netral
44,"[Dr. Salim Menyapa NTT]

Seorang tokoh masyarakat di NTT mengapresiasi dan berterima kasih atas sikap Fraksi PKS DPR RI yang menolak kenaikan harga BBM dgn melakukan aksi walk out dr rapat paripurna bbrp waktu lalu.

#DrSalimMenyapaIndonesia 
#DrSalimMenyapaNTT https://t.co/yb4Dkxc18I",positif
45,"Beban berat ekonomi rakyat, kenaikan harga BBM, situasi internasional, maraknya protes rakyat paska kenaikan BBM, capres/cawapres partai demokrat dan rencana koalisi akan dibahas 4 ribuan pemimpin partai Demokat  tanggal 15 - 16 September di JCC. Selamat datang peserta Rapimnas.",positif
46,Panas! Demo Tolak Kenaikan BBM. Massa Sebut Partai-partai Borjuis Perampok Hak Rakyat https://t.co/upmIxNt2uy lewat @hajinewsonline,negatif
47,"KENAIKAN harga BBM kali ini mrpkn kebijakan brutal paling sontoloyo. Sdh mahal rakyat yg beli didata Pertamina, seolah mau ngemplang. 
? kalian yg tukang bo'ong koq rakyat yg dicurigai. Terus data publik itu kalian mau tanggungjawab jaganya? Pura2 hilang pdhl kalian jual, kan? https://t.co/85VnbewU1m",negatif
48,"Tolak Kenaikan Harga BBM ???????
(Kantor DPRD Lampung Utara 14/Sept/2022) https://t.co/i4kLPhGaPQ",negatif
49,@KieDonwoi Kenaikan BBM sudah tepat agar subsidi BBM bisa dialihkan ke kegiatan yang lebih produktif karena selama ini subsidi BBM tidak tepat sasaran dan terjadi banyak penyalahgunaan,positif
50,"MAHASISWA BERSAMA RAKYAT SURABAYA BERGERAK !!!
TOLAK KENAIKAN HARGA BBM !!
Link : 
https://t.co/NhdEgj9ZaV
SEBARKAN TEMAN² !!
TV TIDAK MENYIARKAN !!
SURABAYA BERGERAK !!
ALLAHU AKBAR !!

#BBMNaikRakyatRevolusi 
#BBMNaikRakyatRevolusi https://t.co/zutImkQimL",negatif
51,"Tolak Kenaikan Harga BBM, Massa PMII Paksa Masuk Kantor Balai Kota DKI Jakarta https://t.co/NIxnzd5Mcq",negatif
52,"Tolak Kenaikan Harga BBM ???????
(Kantor DPRD Lampung Utara 14/Sept/2022) https://t.co/i4kLPhGaPQ",negatif
53,"MAHASISWA BERSAMA RAKYAT SURABAYA BERGERAK !!!
TOLAK KENAIKAN HARGA BBM !!
Link : 
https://t.co/NhdEgj9ZaV
SEBARKAN TEMAN² !!
TV TIDAK MENYIARKAN !!
SURABAYA BERGERAK !!
ALLAHU AKBAR !!

#BBMNaikRakyatRevolusi 
#BBMNaikRakyatRevolusi https://t.co/zutImkQimL",negatif
54,"MAHASISWA BERSAMA RAKYAT SURABAYA BERGERAK !!!
TOLAK KENAIKAN HARGA BBM !!
Link : 
https://t.co/NhdEgj9ZaV
SEBARKAN TEMAN² !!
TV TIDAK MENYIARKAN !!
SURABAYA BERGERAK !!
ALLAHU AKBAR !!

#BBMNaikRakyatRevolusi 
#BBMNaikRakyatRevolusi https://t.co/zutImkQimL",negatif
55,PMII Kota Bogor Akan Gelar Demo Tolak Kenaikan BBM di Istana Bogor Kamis Besok https://t.co/ybLxq3aj3y https://t.co/4AnhmqRHNl,negatif
56,Aksi Demo 13092022 telah usai dan akan kembali lagi dg jumlah masa yg lebih besar jika tuntutan Dibatalkannya Kenaikan Harga BBM tdk dikabulkan. https://t.co/HODVEnhAoA,negatif
57,"Aksi Driver Ojol se-Purwakarta ""Tolak Kenaikan Harga BBM"" di depan Gedung DPRD Purwakarta.. (14/Sept/2022) https://t.co/ot48a2SfwN",negatif
58,"Karyawan SPBU WAS-WAS @ganjarpranowo Sidak langsung kenaikan BBM 

#ganjaranapps #ganjaranapp #bbm #ganjarpranowo https://t.co/yEuQsaAN2e",netral
59,"PASCA KENAIKAN HARGA BBM, POLSEK BALEENDAH POLRESTA BANDUNG BAKSOS SEMBAKO BERSAMA MAHASISWA UNIBA

Baleendah - Pasca kenaikan harga BBM, Polsek Baleendah Polresta Bandung melaksanakan bakti sosial (baksos).

Baksos ini dengan membagi-bagikan paket sembako kepada masyarakat https://t.co/gfwScHQN8i",positif
60,"HUT Partai Demokrat Digelar Sederhana, Andi Arief: Bentuk Simpati atas Mereka yang Tolak Kenaikan BBM https://t.co/KiaW8FMAwa  #RapimnasDemokrat",positif
61,"Sekian dokumentasi amatiran tentang unjuk rasa penolakan kenaikan BBM kemarin ????

#Ardivisual https://t.co/v5nO4qTCDz",negatif
62,Sampai malam ini mahasiswa masih bertahan di Patung Kuda untuk menyuarakan penolakan terhadap kenaikan harga BBM. https://t.co/Urazh6XeoC,negatif
63,"Tolak Kenaikan Harga BBM ???????
(Kantor DPRD Lampung Utara 14/Sept/2022) https://t.co/i4kLPhGaPQ",negatif
64,"MAHASISWA BERSAMA RAKYAT SURABAYA BERGERAK !!!
TOLAK KENAIKAN HARGA BBM !!
Link : 
https://t.co/NhdEgj9ZaV
SEBARKAN TEMAN² !!
TV TIDAK MENYIARKAN !!
SURABAYA BERGERAK !!
ALLAHU AKBAR !!

#BBMNaikRakyatRevolusi 
#BBMNaikRakyatRevolusi https://t.co/zutImkQimL",negatif
65,"Massa aksi sudah tiba di gedung Grahadi Surabaya, bersiap menyampaikan aspirasi dan tuntutan rakyat terutama atas kenaikan harga BBM. ??

Bersama @MprAldo dan @aliansibem_si

#PanjangUmurPerjuangan
#SurabayaPejuang
#IndonesiaBangkit https://t.co/MPna7F3bOa",negatif
66,Aksi Mahasiswa Tolak Kenaikan Harga BBM di Jakarta Berlangsung hingga Malam https://t.co/NRy9UdLHat #TempoFoto,negatif
67,"Aksi Driver Ojol se-Purwakarta ""Tolak Kenaikan Harga BBM"" di depan Gedung DPRD Purwakarta.. (14/Sept/2022) https://t.co/ot48a2SfwN",negatif
68,"MAHASISWA BERSAMA RAKYAT SURABAYA BERGERAK !!!
TOLAK KENAIKAN HARGA BBM !!
Link : 
https://t.co/NhdEgj9ZaV
SEBARKAN TEMAN² !!
TV TIDAK MENYIARKAN !!
SURABAYA BERGERAK !!
ALLAHU AKBAR !!

#BBMNaikRakyatRevolusi 
#BBMNaikRakyatRevolusi https://t.co/zutImkQimL",negatif
69,"Aksi Tolak Kenaikan Harga BBM yang awalnya berjalan kondusif, akhirnya ricuh lagi, di depan gedung DPRD Provinsi Bengkulu.. (13/Sept/2022) https://t.co/suNhVMc9SR",negatif
70,"MAHASISWA BERSAMA RAKYAT SURABAYA BERGERAK !!!
TOLAK KENAIKAN HARGA BBM !!
Link : 
https://t.co/NhdEgj9ZaV
SEBARKAN TEMAN² !!
TV TIDAK MENYIARKAN !!
SURABAYA BERGERAK !!
ALLAHU AKBAR !!

#BBMNaikRakyatRevolusi 
#BBMNaikRakyatRevolusi https://t.co/zutImkQimL",negatif
71,"MEDAN KEREN !? 
Salah satu tuntutan penolakan kenaikan BBM.

Kenapa tidak ada penolakan rezim yg jadi biang kenaikan semua harga.? https://t.co/rlLRc3nCwC",netral
72,"PASCA KENAIKAN HARGA BBM, POLSEK BALEENDAH POLRESTA BANDUNG BAKSOS SEMBAKO BERSAMA MAHASISWA UNIBA

Baleendah - Pasca kenaikan harga BBM, Polsek Baleendah Polresta Bandung melaksanakan bakti sosial (baksos). https://t.co/MMzyIHOrSt",positif
73,Kata ketua PBNU kenaikan BBM bisa dipahami pak. Internal NU tidak kompak? https://t.co/r3PtdZpAE7,netral
74,"Akibat kenaikan harga BBM, Bhima Yudhistira memprediksi persentase penduduk miskin berisiko naik menjadi 10% sampai 10,5% atau 1 juta-1,3 juta orang miskin baru.

Apakah rakyat kecil makin terjepit?

Yuk simak perspektif Direktur IJM
https://t.co/uNIfOQiTLC",negatif
75,"Massa aksi sudah tiba di gedung Grahadi Surabaya, bersiap menyampaikan aspirasi dan tuntutan rakyat terutama atas kenaikan harga BBM. ??

Bersama @MprAldo dan @aliansibem_si

#PanjangUmurPerjuangan
#SurabayaPejuang
#IndonesiaBangkit https://t.co/MPna7F3bOa",negatif
76,"?? sedih bgt ini terakhir aku ngasih makan ke kitten liar di perumku. soalnya uang dr gajiku udh ga cukup buat beli makan mrk, imbas dr kenaikan bbm. maaf yah dek :"") https://t.co/eOt2t3KVEg",netral
77,"@PartaiSocmed Awalnya saya ngk ngerti dan merasa wajar..karena pak dhe bilang subsidi bbm besar,..rupanya tgl pertama di ucapkan sebelum kenaikan BBM,..baru paham saya
Oalah....??",netral
78,Sampai malam ini mahasiswa masih bertahan di Patung Kuda untuk menyuarakan penolakan terhadap kenaikan harga BBM. https://t.co/Urazh6XeoC,negatif
79,"MEDAN KEREN !? 
Salah satu tuntutan penolakan kenaikan BBM.

Kenapa tidak ada penolakan rezim yg jadi biang kenaikan semua harga.? https://t.co/rlLRc3nCwC",netral
80,"#AHYPemimpinPerubahan Tolak kenaikan BBM #BatalkanKenaikanBBM 
#HarapanRakyatPerjuanganDemokrat https://t.co/4JKDntW1Lu",negatif
81,"Tolak Kenaikan Harga BBM ???????
(Tugu Bundaran kota Masohi Maluku 12/Sept/2022) https://t.co/vfpIFlOKrC",negatif
82,"Karyawan SPBU WAS-WAS @ganjarpranowo Sidak langsung kenaikan BBM 

#ganjaranapps #ganjaranapp #bbm #ganjarpranowo https://t.co/yEuQsaAN2e",netral
83,"Tolak Kenaikan Harga BBM ???????
(Kota Pangkalpinang, Bangka Belitung 14/Sept/2022) https://t.co/rhMDRustH9",negatif
84,"Tolak Kenaikan Harga BBM ???????
(Kota Pangkalpinang, Bangka Belitung 14/Sept/2022) https://t.co/rhMDRustH9",negatif
85,"[AKSI TOLAK KENAIKAN HARGA BBM]

??Selasa, 13 September 2022. https://t.co/xfgohgozxj",negatif
86,"Aksi Tolak Kenaikan Harga BBM yang awalnya berjalan kondusif, akhirnya ricuh lagi, di depan gedung DPRD Provinsi Bengkulu.. (13/Sept/2022) https://t.co/suNhVMc9SR",negatif
87,GIAT MONITORING UNIVERSITAS KRISTEN INDONESIA (UKI) BEKERJA SAMA DENGAN POLRI MEMBERIKAN BANSOS POLRI PRESISI KEPADA MASYARAKAT YANG TERDAMPAK KENAIKAN HARGA BBM DI DEPAN KAMPUS UKI CAWANG KEC. KRAMAT JATI https://t.co/iUwkHMKtKu,positif
88,"Kalau ga salah, di APBNP 2022 dipatok harga ICP sebesar USD 100/barel. Nah, per hari ini harga minyak jenis brent USD 87,78 &amp; WTI USD 82,08/barel. Kalau ikut mekanisme pasar ya harusnya kenaikan BBM dibatalkan. Itu kan kata rakyat biasa, mungkin Ulil Amri punya pandangan lain ??",netral
89,Aksi Demo 13092022 telah usai dan akan kembali lagi dg jumlah masa yg lebih besar jika tuntutan Dibatalkannya Kenaikan Harga BBM tdk dikabulkan. https://t.co/HODVEnhAoA,negatif
90,"Aksi Driver Ojol se-Purwakarta ""Tolak Kenaikan Harga BBM"" di depan Gedung DPRD Purwakarta.. (14/Sept/2022) https://t.co/ot48a2SfwN",negatif
91,"Menteri Ketenagakerjaan RI menjelaskan BSU yang diberikan kepada para pekerja merupakan bukti bahwa negara hadir membantu warga yang kesulitan terdampak kenaikan harga BBM.

@jokowi Gaspool Pemulihan Ekonomi https://t.co/Of0VYNvUY6",positif
92,"AHY Kumpulkan 3.000 Pimpinan Demokrat Se-Indonesia, Sikapi Kenaikan Harga BBM https://t.co/0bKrRXx1T8",negatif
93,"Annggota Koramil 0903/Gununghalu monitoring dan pengamanan pendistribusian BLT dampak kenaikan BBM, untuk warga masyarakat Kec.Gununghalu, di kantor pos Gununghalu
@puspentni @tni_ad @KODIM0609KABBDG @penrem062 @kodam3siliwangi @kemensosri
https://t.co/5TqeQQq58I https://t.co/c30XRggZRO",positif
94,"Aksi Tolak Kenaikan Harga BBM yang awalnya berjalan kondusif, akhirnya ricuh lagi, di depan gedung DPRD Provinsi Bengkulu.. ??????? (13/Sept/2022) https://t.co/hkCw0LPnFG https://t.co/fKhvN4n2Rk",negatif
95,"Pasca kenaikan harga BBM, Pemerintah Provinsi Jawa Tengah menggelar rapat koordinasi secara virtual mengenai pengendalian inflasi di daerah yang dipimpin langsung oleh Presiden Joko Widodo. 

#sahabatganjar #ganjarpranowo #Ganjar https://t.co/KAn2AWG7YC",netral
96,Sampai malam ini mahasiswa masih bertahan di Patung Kuda untuk menyuarakan penolakan terhadap kenaikan harga BBM. https://t.co/Urazh6XeoC,negatif
97,Aksi Demo 13092022 telah usai dan akan kembali lagi dg jumlah masa yg lebih besar jika tuntutan Dibatalkannya Kenaikan Harga BBM tdk dikabulkan. https://t.co/HODVEnhAoA,negatif
98,"Massa aksi sudah tiba di gedung Grahadi Surabaya, bersiap menyampaikan aspirasi dan tuntutan rakyat terutama atas kenaikan harga BBM. ??

Bersama @MprAldo dan @aliansibem_si

#PanjangUmurPerjuangan
#SurabayaPejuang
#IndonesiaBangkit https://t.co/MPna7F3bOa",negatif
99,"Demo Tolak Kenaikan Harga BBM di Jakarta Berakhir Ricuh, #BBMNaikRakyatRevolusi Menggema
https://t.co/1XkCtW4Fz4",negatif
100,"MAHASISWA BERSAMA RAKYAT SURABAYA BERGERAK !!!
TOLAK KENAIKAN HARGA BBM !!
Link : 
https://t.co/NhdEgj9ZaV
SEBARKAN TEMAN² !!
TV TIDAK MENYIARKAN !!
SURABAYA BERGERAK !!
ALLAHU AKBAR !!

#BBMNaikRakyatRevolusi 
#BBMNaikRakyatRevolusi https://t.co/zutImkQimL",negatif
101,@joenaiijb @RohmahRetno @DokterTifa Slogan mensejahterakan rakyat miskin itu perlu di ganti deh... namanya sejahtera itu ya terjamin kebutuhan hidup nya tiap bulannya.. Jadi bukan uang tutup mulut selama 4 bulan karena kenaikan BBM... Setelah 4 bulan tida,netral
102,Kata ketua PBNU kenaikan BBM bisa dipahami pak. Internal NU tidak kompak? https://t.co/r3PtdZpAE7,netral
103,Sampai malam ini mahasiswa masih bertahan di Patung Kuda untuk menyuarakan penolakan terhadap kenaikan harga BBM. https://t.co/Urazh6XeoC,negatif
104,"Aksi flashmob oleh DPC PKS Kecamatan Cibinong menolak kenaikan harga BBM bersubsidi. 

#PKStolakKenaikanBBM #PKSPatriotPelayanRakyat #PKSuntukIndonesia https://t.co/By59VtQaHO",netral
105,"Pak Ganjar Gandeng BPK untuk Optimalisasi Anggaran atasi kenaikan BBM

#GANTARI???? 
#GanjarTheNextPresiden https://t.co/z3Esdz1U5q",positif
106,Kepala Divisi Divisi Humas Polri Irjen Dedi bilang begini soal fenomena akibat kenaikan harga BBM. #IrjenDedi https://t.co/Zb3QPdJZYI,netral
107,"Gaji Ahok 3,2 miliar/bln. Bkn awak iri, tp apa kontribusi Ahok? Yg ada rakyat dibikin susah dgn kenaikan hrg BBM.

Smentara THP bos2 pertamina miliaran rp stiap blnnya. Konyolnya lg pertamina ngaku rugi! ??????????????? https://t.co/W4GJuu57Zf",negatif
108,"https://t.co/fcsb2vO5oW kembali live aksi menolak kenaikan harga BBM, adik2 mahasiswa yang masih bertahan di kawasan patung kuda Jakarta. https://t.co/EPP3SaMVsa",negatif
109,"@bikhaspurna @Paltiwest @jokowi Mayoritas rakyat mana yg menerima? Rakyat buzzer2 peliharaaan istana? Rakyat berhak mempertanyakan kebijakan yg di nilai arogan. Contohnya kenaikan BBM yg di anggap kebijakan paling arogan pemerintah saat ini, dimna trend m",negatif
110,"Bjorka Memaksa Perhatian Publik Terbelah, Tidak Lagi Dominan Sambo dan Kenaikan BBM
https://t.co/3uMSbOMTiY",netral
111,"""Menolak kebijakan pemerintah menaikkan harga BBM karena berdampak secara signifikan thd berbagai sektor kehidupan krusial masyarakat"" kata Aliansi UI Menolak Kenaikan BBM dlm keterangan tertulis yg disampaikan Ketua BEM UI Bayu Satria Utomo (13/9/2022)
https://t.co/Z8yWdIMcoO",netral
112,"@YogaswaraWahyu @Paltiwest @jokowi Buktinya yg demo berapa  sih, yg diam cukup bersuara di medsos berjuta juta bung,  kenaikan BBM dan harga barang saat ini bukan cuma terjadi di negara kita, santai saja sekali kita masih mau iktiar bekerja insya Allah se",netral
113,"Gaji Ahok 3,2 miliar/bln. Bkn awak iri, tp apa kontribusi Ahok? Yg ada rakyat dibikin susah dgn kenaikan hrg BBM.

Smentara THP bos2 pertamina miliaran rp stiap blnnya. Konyolnya lg pertamina ngaku rugi! ??????????????? https://t.co/W4GJuu57Zf",negatif
114,"Massa yang mengatasnamakan dirinya Aliansi Rakyat Surabaya (ARAS) yang merupakan gabungan dari BEM se-Surabaya dan organisasi lain menggelar aksi unjuk rasa di depan Gedung Grahadi Surabaya menolak kenaikan BBM, Rabu (14/9) siang. (Rec)
#ElshintaNewsAndTalk https://t.co/sHQ2BdwnZ4",negatif
115,"Aksi Driver Ojol se-Purwakarta ""Tolak Kenaikan Harga BBM"" di depan Gedung DPRD Purwakarta.. (14/Sept/2022) https://t.co/ot48a2SfwN",negatif
116,"Tolak Kenaikan Harga BBM ???????
(Kantor DPRD Lampung Utara 14/Sept/2022) https://t.co/i4kLPhGaPQ",negatif
117,"@budimandjatmiko :

""Demonstrasi sah-sah saja dalam negara demokrasi tidak boleh dilarang. Asalkan jangan keras dan macam-macam,"" 

Jangan macam2 mungkin salah satunya adlh JANGAN ANARKIS, apalagi  ujung2nya MINTA TURUNKAN JOKOWI (Mimpi) ??

https://t.co/",netral
118,"Menteri Ketenagakerjaan RI menjelaskan BSU yang diberikan kepada para pekerja merupakan bukti bahwa negara hadir membantu warga yang kesulitan terdampak kenaikan harga BBM.

@jokowi Gaspool Pemulihan Ekonomi https://t.co/Of0VYNvUY6",positif
119,Aksi Demo 13092022 telah usai dan akan kembali lagi dg jumlah masa yg lebih besar jika tuntutan Dibatalkannya Kenaikan Harga BBM tdk dikabulkan. https://t.co/HODVEnhAoA,negatif
120,"Tolak Kenaikan Harga BBM ???????
(Kota Pangkalpinang, Bangka Belitung 14/Sept/2022) https://t.co/rhMDRustH9",negatif
121,"Pasca kenaikan harga BBM, Pemerintah Provinsi Jawa Tengah menggelar rapat koordinasi secara virtual mengenai pengendalian inflasi di daerah yang dipimpin langsung oleh Presiden Joko Widodo. 

#sahabatganjar #ganjarpranowo #Ganjar https://t.co/KAn2AWG7YC",netral
122,"[Dr. Salim Menyapa NTT]

Seorang tokoh masyarakat di NTT mengapresiasi dan berterima kasih atas sikap Fraksi PKS DPR RI yang menolak kenaikan harga BBM dgn melakukan aksi walk out dr rapat paripurna bbrp waktu lalu.

#DrSalimMenyapaIndonesia 
#DrSalimMenyapaNTT https://t.co/yb4Dkxc18I",positif
123,"Pangkal pinang 14 September 2022

Tolok kenaikan harga BBM https://t.co/dVRWhUQvZT",negatif
124,"Tarif Bus AKAP Melambung Tinggi, Kapitalisasi Fasilitas SDA Sengsarakan Rakyat  | Serba-serbi MMC

Kenaikan BBM jenis Pertalite, Solar, dan Pertamax akhirnya mengerek tarif dasar angkutan Antar Kota Antar Provinsi (AKAP), naik 33 persen. 

https://t.co/0Ch4RqyKfH https://t.co/2HSA0KOKRm",positif
125,"Aksi unjuk rasa menolak kenaikan BBM di kawasan Patung Kuda, Jakarta Pusat oleh massa mahasiswa yang mencoba untuk menerobos kawat berduri, Selasa (13/9) sore. ???Asb https://t.co/f2ym6Szotl",negatif
126,"Aksi Demo Ojol Banten, Menolak Kenaikan Harga BBM, 12.09.2022 ?????? https://t.co/3KpjIUnCR6",negatif
